engagement_field,chart_field,n,r,abs_r
favourite_count,ioi_p99_ms,10027,0.0167,0.0167
favourite_count,ioi_std_ms,10027,0.016,0.016
nominations_current,long_gap_count,10027,-0.0154,0.0154
rating_count,don_ratio,10027,-0.0152,0.0152
favourite_count,ratio_peak_falloff,10027,-0.0151,0.0151
rating_count,over_pspace_self,10027,0.0144,0.0144
favourite_count,ioi_median_ms,10027,0.0141,0.0141
bpm_set,long_gap_count,10027,0.0139,0.0139
favourite_count,ratio_metronome_distance,10027,-0.0136,0.0136
nominations_current,mean_streak_len,10027,-0.0134,0.0134
favourite_count,ioi_mean_ms,10027,0.0126,0.0126
favourite_count,ratio_peak_count,10027,-0.0126,0.0126
play_count_set,ioi_median_ms,10027,-0.012,0.012
play_count_set,estimated_bpm,10027,0.012,0.012
play_count_set,density_mean,10027,0.0119,0.0119
passcount,gap_peak_mass_total,10027,-0.0118,0.0118
favourite_count,long_gap_count,10027,-0.0115,0.0115
play_count_set,density_std,10027,0.0112,0.0112
play_count_set,dominant_ioi_ms,10027,-0.0102,0.0102
favourite_count,dominant_ioi_ms,10027,0.0102,0.0102
play_count_set,ratio_metronome_distance,10027,-0.0095,0.0095
rating_count,longest_streak,10027,-0.0089,0.0089
playcount,duration_s,10027,-0.0085,0.0085
rating_count,mean_streak_len,10027,0.0084,0.0084
favourite_count,streak_event_fraction,10027,0.0083,0.0083
favourite_count,gap_peak_falloff,10027,-0.0078,0.0078
favourite_count,mean_streak_len,10027,-0.0077,0.0077
nominations_current,don_ratio,10027,0.0077,0.0077
nominations_current,ratio_random_distance,10027,0.0074,0.0074
nominations_current,gap_peak_count,10027,-0.0073,0.0073
play_count_set,streak_event_fraction,10027,0.0068,0.0068
playcount,short_ioi_pct,10027,0.0064,0.0064
play_count_set,longest_streak,10027,-0.0064,0.0064
play_count_set,over_pspace_self,10027,-0.0061,0.0061
bpm_set,short_ioi_pct,10027,0.0057,0.0057
passcount,don_ratio,10027,0.0056,0.0056
rating_count,short_ioi_pct,10027,-0.0054,0.0054
play_count_set,density_peak,10027,0.005,0.005
rating_mean,gap_peak_falloff,10027,0.005,0.005
nominations_current,short_ioi_pct,10027,-0.0048,0.0048
play_count_set,density_cv,10027,0.0045,0.0045
rating_mean,estimated_bpm,10027,-0.0041,0.0041
bpm_set,gap_metronome_distance,10027,0.0041,0.0041
favourite_count,short_ioi_pct,10027,-0.004,0.004
play_count_set,star_rating,10027,0.0029,0.0029
play_count_set,ratio_peak_falloff,10027,-0.0028,0.0028
play_count_set,mean_streak_len,10027,0.0024,0.0024
nominations_current,ratio_peak_count,10027,-0.0024,0.0024
play_count_set,short_ioi_pct,10027,-0.0021,0.0021
nominations_current,gap_metronome_distance,10027,-0.0015,0.0015
passcount,short_ioi_pct,10027,0.0013,0.0013
nominations_current,gap_random_distance,10027,-0.0013,0.0013
rating_mean,ratio_peak_count,10027,-0.0009,0.0009
favourite_count,ioi_p95_ms,10027,0.0004,0.0004
nominations_current,gap_peak_falloff,10027,-0.0002,0.0002
